W=100;E=100
e1=(V3,V2)
e2=(V4,V3)
e3=(V5,V4)
e4=(V5,V6)
e5=(V7,V8)
e6=(V10,V9)
e7=(V11,V1)
e8=(V2,V12)
e9=(V5,V15)
e10=(V6,V16)
e11=(V17,V7)
e12=(V8,V18)
e13=(V9,V19)
e14=(V20,V10)
e15=(V12,V11)
e16=(V12,V13)
e17=(V15,V14)
e18=(V13,V23)
e19=(V16,V26)
e20=(V27,V17)
e21=(V19,V29)
e22=(V30,V20)
e23=(V21,V22)
e24=(V23,V24)
e25=(V26,V27)
e26=(V27,V28)
e27=(V31,V21)
e28=(V22,V32)
e29=(V24,V34)
e30=(V35,V25)
e31=(V28,V38)
e32=(V40,V30)
e33=(V32,V33)
e34=(V34,V35)
e35=(V37,V36)
e36=(V39,V40)
e37=(V41,V31)
e38=(V35,V45)
e39=(V47,V37)
e40=(V38,V48)
e41=(V49,V39)
e42=(V42,V41)
e43=(V43,V44)
e44=(V46,V47)
e45=(V50,V49)
e46=(V52,V42)
e47=(V53,V43)
e48=(V44,V54)
e49=(V45,V55)
e50=(V56,V46)
e51=(V47,V57)
e52=(V48,V58)
e53=(V60,V50)
e54=(V55,V56)
e55=(V58,V59)
e56=(V59,V60)
e57=(V61,V51)
e58=(V62,V52)
e59=(V63,V53)
e60=(V54,V64)
e61=(V55,V65)
e62=(V58,V68)
e63=(V62,V61)
e64=(V65,V66)
e65=(V68,V69)
e66=(V69,V70)
e67=(V61,V71)
e68=(V72,V62)
e69=(V73,V63)
e70=(V65,V75)
e71=(V77,V67)
e72=(V68,V78)
e73=(V73,V72)
e74=(V74,V73)
e75=(V75,V74)
e76=(V78,V77)
e77=(V78,V79)
e78=(V79,V80)
e79=(V71,V81)
e80=(V86,V76)
e81=(V80,V90)
e82=(V81,V82)
e83=(V82,V83)
e84=(V83,V84)
e85=(V85,V86)
e86=(V88,V87)
e87=(V88,V89)
e88=(V81,V91)
e89=(V84,V94)
e90=(V95,V85)
e91=(V87,V97)
e92=(V98,V88)
e93=(V90,V100)
e94=(V91,V92)
e95=(V92,V93)
e96=(V94,V95)
e97=(V95,V96)
e98=(V97,V96)
e99=(V99,V98)
e100=(V100,V99)
